,Название набора,Рынок,Стадия стартапа,Сервисы,Технологии
126,Акселерационная программа IBS,Transport & Logistics|PropTech|IndustrialTech|HRTech|FinTech,Ранний рост|Расширение|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение |Доступ к потенциальным заказчикам,Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение
127,Акселератор ВкусВилл,FoodTech,Идея,"Тестирование продукта |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
128,Акселератор ВТБ,Cybersecurity|LegalTech|HRTech|Business Software|RetailTech|FinTech,Ранний рост,"Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Маркетинг и продвижение |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",Big Data|Биометрия|Интернет вещей|Искусственный интеллект и машинное обучение
129,Бизнес-акселератор Росатома,IndustrialTech|CleanTech|Healthcare,Посевная,"Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)|Доступ к оборудованию/ лаборатории / облачным сервисам",3D моделирование|Аддитивные технологии|Новые и портативные источники энергии|Робототехника
130,Moscow Travel Factory,Travel,Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение |Доступ к потенциальным заказчикам|Доступ к оборудованию/ лаборатории / облачным сервисам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
131,Акселератор РЖД 2021,Transport & Logistics,Ранний рост|Посевная,Ментор/ консультант для поддержки развития бизнеса |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам|Доступ к оборудованию/ лаборатории / облачным сервисам,Big Data|Беспилотники|Интернет вещей|Искусственный интеллект и машинное обучение|Новые материалы|Робототехника
132,GoGlobal ,EdTech|Advertising & Marketing,Ранний рост,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Помощь в выходе на международный рынок,AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение
133,Global Partners Program,AgroTech|Transport & Logistics|PropTech|CleanTech|FoodTech,Ранний рост,Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,Беспилотники|Биометрия|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые и портативные источники энергии|Новые материалы|Робототехника
134,Акселератор Контура,EdTech|HRTech|Healthcare,Ранний рост|Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,Big Data
135,Московский акселератор. Трек AI FACTORY,Cybersecurity|EdTech|IndustrialTech|HRTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,3D моделирование|Big Data|Аддитивные технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нейротехнологии|Новые материалы
136,Акселератор сферы услуг МБМ,Consumer Goods & Services,Ранний рост|Расширение,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
137,Акселератор MTS StartUp Hub Клиентские сервисы,Business Software,Ранний рост|Посевная,Инвестиции|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Поддержка по юридическим / бухгалтерским вопросам |Доступ к потенциальным заказчикам|Помещение для аренды офиса|Доступ к оборудованию/ лаборатории / облачным сервисам,Big Data
138,Физтех.Старт,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение |Помощь в выходе на международный рынок,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
139,Формула IT ,Cybersecurity|EdTech|PropTech|Advertising & Marketing|RetailTech|FinTech,Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Помощь в формировании команды|Маркетинг и продвижение |Доступ к потенциальным заказчикам,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение|Робототехника
140,MineTech 2021,IndustrialTech,Расширение|Идея|Посевная,Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Интернет вещей|Искусственный интеллект и машинное обучение|Новые материалы|Робототехника
141,Green Tech  Startup Booster,CleanTech,Ранний рост|Идея|Посевная,"Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",Big Data|Зеленые технологии|Новые и портативные источники энергии|Новые материалы
142,Акселератор креативных индустрий Created in Moscow,FashionTech,Ранний рост,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Программа постсопровождения,AR/VR
143,Московский акселератор. Трек Transport&Mobility,EdTech|Transport & Logistics|CleanTech|E-commerce,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,3D моделирование|AR/VR|Big Data|Беспилотники|Зеленые технологии|Искусственный интеллект и машинное обучение
144,Экспортный акселератор Tech Export to India,AgroTech|Transport & Logistics|Business Software|RetailTech|Healthcare,Ранний рост|Посевная,Ментор/ консультант для поддержки развития бизнеса |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,AR/VR|Беспилотники|Биометрия|Искусственный интеллект и машинное обучение|Новые и портативные источники энергии|Робототехника
145,MUIV.LAB,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Посевная,Инвестиции|Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
146,Data Explorer,,Посевная,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Финансовая поддержка (субсидии, гранты и т.п.)",Big Data|Искусственный интеллект и машинное обучение
147,Акселератор Транспортные инновации Москвы,Transport & Logistics|SafetyTech|CleanTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта ,Беспилотники|Биометрия|Искусственный интеллект и машинное обучение|Робототехника
148,MTS AI,Telecom,Идея|Посевная,Инвестиции|Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам,Искусственный интеллект и машинное обучение
149,MGNTech,EdTech|PropTech|LegalTech|HRTech|Advertising & Marketing|RetailTech|CleanTech|E-commerce|FinTech|FoodTech,Ранний рост|Посевная,Тестирование продукта |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Биотехнологии|Зеленые технологии|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые материалы|Робототехника
150,МКБ Реактор ,FinTech,Посевная,"Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Финансовая поддержка (субсидии, гранты и т.п.)",Big Data|Блокчейн|Искусственный интеллект и машинное обучение
151,"Акселератор Московского центра инноваций в здравоохранении и сети клиник ""Медси""",Healthcare,Посевная,"Обучение (образовательные программы)|Тестирование продукта |Финансовая поддержка (субсидии, гранты и т.п.)|Доступ к оборудованию/ лаборатории / облачным сервисам|Проведение исследований / испытаний ",Big Data|Искусственный интеллект и машинное обучение
152,Московский акселератор. Трек Digital Health,Healthcare,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,Big Data|Искусственный интеллект и машинное обучение
153,Экспортный акселератор Деловой среды,Consumer Goods & Services|FoodTech|Healthcare,Расширение,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы),3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
154,Преакселератор АРФГ 2021,FinTech,Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
155,Акселератор MTS StartUp Hub Умный дом,PropTech,Ранний рост|Посевная,Инвестиции|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Поддержка по юридическим / бухгалтерским вопросам |Доступ к потенциальным заказчикам|Помещение для аренды офиса|Доступ к оборудованию/ лаборатории / облачным сервисам,AR/VR|Интернет вещей
156,ED2,EdTech|HRTech,Ранний рост|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
157,Экспортеры 2.0,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Расширение,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Помощь в выходе на международный рынок,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
158,Акселератор Спринт,EdTech|Gaming|Business Software|Healthcare,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Помещение для аренды офиса,3D моделирование|AR/VR|Big Data|Биометрия|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нейротехнологии
159,Privacy Accelerator,Cybersecurity|LegalTech|Мedia & Communication,Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
160,Инновационный бизнес-навигатор,CleanTech,Расширение,"Обучение (образовательные программы)|Финансовая поддержка (субсидии, гранты и т.п.)",3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
161,Game Drive,Gaming,Ранний рост,Инвестиции|Тематические мероприятия (нетворкинг)|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника
162,Акселератор дорожной отрасли,Transport & Logistics,Ранний рост|Расширение|Идея|Посевная,Обучение (образовательные программы)|Тестирование продукта |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам,Беспилотники|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые материалы
